Rank,Score,Company,Domain,LinkedIn,Amount (USD),Round,Lead Investor,All Investors,Country,Date Announced,Hiring Tier,Tech Roles,ATS Provider,Careers URL,Source URL,Score: Funding Stage,Score: Funding Amount,Score: Investor Quality,Score: Hiring Activity,Score: Tech Roles
Medium,37,Iambic,https://iambic.ai,,100000000,funding,,Abingworth; Alexandria Venture Investments; Alumni Ventures; ARK; Ascenta; Catalio; Everbright Biofund; Freeflow Ventures; Illumina Ventures; Mubadala; Pegasus Tech Ventures; Qatar Investment Authority; Regeneron Ventures; Sequoia; Tao Capital Partners; Terra Magnum Capital Partners; Wilson Sonsini Goodrich & Rosati,United States,2025-11-11,B,2,Internal,https://iambic.ai/careers,https://www.finsmes.com/2025/11/iambic-raises-over-100m-in-funding.html,0,25,0,9,3
Low,25,NestAI,https://nestai.com,,110000000,,,Nokia; Finnish Industry Investment Ltd (Tesi); PostScriptum,Finland,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/nestai-raises-e100m-in-funding.html,0,25,0,0,0
Low,25,Kraken,https://kraken.com,,800000000,Funding,,Jane Street; DRW Venture Capital; HSG; Oppenheimer Alternative Investment Management; Tribe Capital; Arjun Sethi's family office; Citadel Securities,United States,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/kraken-raises-800m-in-funding.html,0,25,0,0,0
Low,19,Voio,https://voio.com,,8600000,Seed funding,Laude Ventures,Laude Ventures; The House Fund,USA,2025-11-20,B,14,Internal,https://voio.com/careers,https://www.finsmes.com/2025/11/voio-raises-8-6m-in-seed-funding.html,0,0,0,9,10
Low,17,Perelel,https://perelelhealth.com,,27000000,Growth Funding,Prelude Growth Partners,Prelude Growth Partners; Unilever Ventures; Willow Growth Partners; Selva Ventures,United States,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/perelel-raises-27m-in-growth-funding.html,0,17,0,0,0
Low,10,QSimulate,https://qsimulate.com,,11000000,Seed funding,Embark Ventures,Embark Ventures,USA,2025-11-21,C,0,Internal,https://qsimulate.com/careers,https://www.finsmes.com/2025/11/qsimulate-raises-11m-in-total-funding.html,0,10,0,0,0
Low,0,BITE Data,https://bitedata.io,,2500000,Seed funding,Las Olas Venture Capital,Las Olas Venture Capital,United States,2025-11-11,C,0,,,https://www.finsmes.com/2025/11/bite-data-raises-2-5m-in-seed-funding.html,0,0,0,0,0
Low,0,Spectral Compute,https://spectralcompute.com,,6000000,Seed,Costanoa,Costanoa; Crucible,UK,2025-11-10,C,0,,,https://www.finsmes.com/2025/11/spectral-compute-raises-6m-in-seed-funding.html,0,0,0,0,0
Low,0,Cassidy Bio,https://cassidybio.com,,8000000,Seed funding,Ahren Innovation Capital,Ahren Innovation Capital; Lool Ventures; 10D VC; AION Lab's venture seeding track from AstraZeneca; AION Lab's venture seeding track from Merck KGaA,Israel,2025-11-21,C,0,,,https://www.finsmes.com/2025/11/cassidy-bio-closes-8m-in-seed-funding.html,0,0,0,0,0
Low,0,Cavela AI,https://cavela.com,,6600000,,,Susa Ventures; XYZ Venture Capital; Crossover Ventures; Go Global Ventures; Propel Venture Partners,USA,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/cavela-ai-raises-6-6m-in-funding.html,0,0,0,0,0
Low,0,Secure.com,https://secure.com,,4500000,first funding,Disrupt.com,Disrupt.com,UAE,2025-11-20,C,0,,,https://www.finsmes.com/2025/11/secure-com-raises-usd4-5m-in-first-funding.html,0,0,0,0,0
